x,y,,
128.3002921,36.5127647,,
128.2998565,36.5127301,,
128.2994376,36.5126275,,
128.2990516,36.5124609,,
128.2987133,36.5122368,,
128.2984356,36.5119637,,
128.2982293,36.5116521,,
128.2981023,36.511314,,
128.2980594,36.5109624,,
128.2981023,36.5106107,,
128.2982294,36.5102726,,
128.2984357,36.5099611,,
128.2987133,36.5096879,,
128.2990517,36.5094638,,
128.2994377,36.5092973,,
128.2998565,36.5091947,,
128.3002921,36.5091601,,
128.3007276,36.5091947,,
128.3011465,36.5092973,,
128.3015325,36.5094638,,
128.3018708,36.5096879,,
128.3021484,36.5099611,,
128.3023548,36.5102726,,
128.3024818,36.5106107,,
128.3025247,36.5109624,,
128.3024819,36.511314,,
128.3023548,36.5116521,,
128.3021485,36.5119637,,
128.3018708,36.512236,,
128.6099532,35.8852254,,
128.6096176,35.8854496,,
128.6092346,35.8856162,,
128.6088191,35.8857188,,
128.608387,35.8857534,,
128.6079549,35.8857188,,
128.6075394,35.8856162,,
128.6071564,35.8854496,,
128.6068208,35.8852254,,
128.6065453,35.8849523,,
128.6063406,35.8846407,,
128.6062146,35.8843025,,
128.6061721,35.8839509,,
128.6062146,35.8835992,,
128.6063407,35.8832611,,
128.6065454,35.8829495,,
128.6068208,35.8826763,,
128.6071565,35.8824522,,
128.6075394,35.8822856,,
128.6079549,35.882183,,
128.608387,35.8821484,,
128.6088191,35.882183,,
128.6092346,35.8822856,,
128.6096175,35.8824522,,
128.6099532,35.8826763,,
128.6102286,35.8829495,,
128.6104333,35.8832611,,
128.6105594,35.8835992,,
128.6106019,35.8839509,,
128.6105594,35.8843025,,
128.6104334,35.8846407,,
128.6102287,35.8849523,,
128.6099532,35.885225,,
128.6163621,35.8636586,,
128.6160265,35.8638828,,
128.6156437,35.8640493,,
128.6152283,35.8641519,,
128.6147963,35.8641866,,
128.6143642,35.8641519,,
128.6139488,35.8640493,,
128.613566,35.8638828,,
128.6132305,35.8636586,,
128.6129551,35.8633854,,
128.6127504,35.8630738,,
128.6126244,35.8627357,,
128.6125819,35.862384,,
128.6126245,35.8620324,,
128.6127505,35.8616942,,
128.6129551,35.8613826,,
128.6132305,35.8611095,,
128.6135661,35.8608853,,
128.6139489,35.8607187,,
128.6143643,35.8606162,,
128.6147963,35.8605815,,
128.6152282,35.8606162,,
128.6156436,35.8607187,,
128.6160265,35.8608853,,
128.616362,35.8611095,,
128.6166374,35.8613826,,
128.616842,35.8616942,,
128.616968,35.8620324,,
128.6170106,35.862384,,
128.6169681,35.8627357,,
128.6168421,35.8630738,,
128.6166374,35.8633854,,
128.6163621,35.863658,,
128.4467751,35.7305781,,
128.4464401,35.7308023,,
128.4460579,35.7309689,,
128.4456432,35.7310715,,
128.4452119,35.7311061,,
128.4447806,35.7310715,,
128.4443659,35.7309689,,
128.4439837,35.7308023,,
128.4436487,35.7305781,,
128.4433737,35.730305,,
128.4431695,35.7299933,,
128.4430437,35.7296552,,
128.4430012,35.7293035,,
128.4430437,35.7289519,,
128.4431695,35.7286137,,
128.4433738,35.7283021,,
128.4436487,35.7280289,,
128.4439837,35.7278048,,
128.4443659,35.7276382,,
128.4447806,35.7275356,,
128.4452119,35.727501,,
128.4456431,35.7275356,,
128.4460578,35.7276382,,
128.44644,35.7278048,,
128.446775,35.7280289,,
128.4470499,35.7283021,,
128.4472542,35.7286137,,
128.44738,35.7289519,,
128.4474225,35.7293035,,
128.4473801,35.7296552,,
128.4472543,35.7299933,,
128.44705,35.730305,,
128.4467751,35.730578,,
128.7156584,35.8420114,,
