x,y
128.6432434,35.8200047
128.6427369,35.8199056
128.6422556,35.8197433
128.6418115,35.8195216
128.6414153,35.819246
128.641077,35.8189234
128.6408049,35.8185616
128.6406055,35.8181697
128.640484,35.8177571
128.6404431,35.8173341
128.640484,35.8169112
128.6406056,35.8164986
128.640805,35.8161067
128.6410772,35.8157449
128.6414155,35.8154223
128.6418116,35.8151468
128.6422557,35.8149251
128.642737,35.8147627
128.6432435,35.8146637
128.6437627,35.8146304
128.644282,35.8146637
128.6447885,35.8147627
128.6452698,35.8149251
128.6457139,35.8151468
128.64611,35.8154223
128.6464483,35.8157449
128.6467205,35.8161067
128.6469199,35.8164986
128.6470415,35.8169112
128.6470824,35.8173341
128.6470415,35.8177571
128.6469199,35.8181697
128.6467206,35.8185616
128.6464484,35.8189234
128.6461101,35.81924
129.1454547,35.224717
129.1450615,35.2249926
129.1446206,35.2252143
129.1441429,35.2253767
129.1436401,35.2254757
129.1431246,35.225509
129.142609,35.2254757
129.1421062,35.2253767
129.1416285,35.2252143
129.1411876,35.2249926
129.1407944,35.224717
129.1404586,35.2243944
129.1401884,35.2240326
129.1399906,35.2236405
129.1398699,35.2232279
129.1398293,35.2228049
129.1398699,35.2223819
129.1399906,35.2219693
129.1401885,35.2215773
129.1404587,35.2212156
129.1407945,35.2208929
129.1411877,35.2206173
129.1416286,35.2203956
129.1421063,35.2202333
129.1426091,35.2201342
129.1431246,35.2201009
129.14364,35.2201342
129.1441428,35.2202333
129.1446205,35.2203956
129.1450614,35.2206173
129.1454546,35.2208929
129.1457904,35.2212156
129.1460606,35.2215773
129.1462585,35.2219693
129.1463792,35.2223819
129.1464198,35.2228049
129.1463793,35.2232279
129.1462586,35.2236405
129.1460607,35.2240326
129.1457905,35.2243944
129.1454547,35.22471
129.123214,35.1899124
129.122821,35.190188
129.1223803,35.1904097
129.1219027,35.1905721
129.1214001,35.1906712
129.1208848,35.1907045
129.1203696,35.1906712
129.119867,35.1905721
129.1193894,35.1904097
129.1189487,35.190188
129.1185557,35.1899124
129.11822,35.1895898
129.11795,35.189228
129.1177522,35.188836
129.1176315,35.1884234
129.117591,35.1880003
129.1176316,35.1875773
129.1177522,35.1871647
129.1179501,35.1867727
129.1182201,35.1864109
129.1185558,35.1860883
129.1189488,35.1858127
129.1193895,35.185591
129.119867,35.1854287
129.1203696,35.1853296
129.1208848,35.1852963
129.1214001,35.1853296
129.1219027,35.1854287
129.1223802,35.185591
129.1228209,35.1858127
129.1232139,35.1860883
129.1235496,35.1864109
129.1238196,35.1867727
129.1240175,35.1871647
129.1241381,35.1875773
129.1241787,35.1880003
129.1241382,35.1884234
129.1240175,35.188836
129.1238197,35.189228
129.1235497,35.1895898
129.123214,35.189912
128.5494237,35.8598685
128.5490274,35.860144
128.548583,35.8603657
128.5481015,35.8605281
128.5475947,35.8606271
128.5470751,35.8606604
128.5465555,35.8606271
128.5460488,35.8605281
128.5455672,35.8603657
128.5451228,35.860144
128.5447265,35.8598685
128.5443881,35.8595458
128.5441158,35.8591841
128.5439163,35.8587921
128.5437947,35.8583796
128.5437538,35.8579566
128.5437947,35.8575336
128.5439164,35.8571211
128.5441158,35.8567291
128.5443882,35.8563674
128.5447267,35.8560448
128.545123,35.8557692
128.5455673,35.8555476
128.5460488,35.8553852
128.5465556,35.8552862
128.5470751,35.8552529
128.5475947,35.8552862
128.5481014,35.8553852
128.5485829,35.8555476
128.5490273,35.8557692
128.5494236,35.8560448
128.5497621,35.8563674
128.5500344,35.8567291
128.5502339,35.8571211
128.5503556,35.8575336
128.5503965,35.8579566
