x,y
128.6417328,35.8881219
128.6414573,35.888395
128.6478737,35.8195815
128.6475383,35.8198057
128.6471557,35.8199722
128.6467405,35.8200748
128.6463087,35.8201094
128.645877,35.8200748
128.6454618,35.8199722
128.6450792,35.8198057
128.6447438,35.8195815
128.6444686,35.8193083
128.644264,35.8189967
128.6441381,35.8186586
128.6440956,35.8183069
128.6441381,35.8179552
128.6442641,35.8176171
128.6444686,35.8173055
128.6447438,35.8170323
128.6450792,35.8168082
128.6454618,35.8166416
128.645877,35.816539
128.6463087,35.8165044
128.6467405,35.816539
128.6471556,35.8166416
128.6475382,35.8168082
128.6478736,35.8170323
128.6481488,35.8173055
128.6483534,35.8176171
128.6484793,35.8179552
128.6485218,35.8183069
128.6484793,35.8186586
128.6483534,35.8189967
128.6481489,35.8193083
128.6478737,35.819581
128.6293892,35.8780752
128.6290536,35.8782993
128.6286707,35.8784659
128.6282552,35.8785685
128.6278231,35.8786031
128.627391,35.8785685
128.6269756,35.8784659
128.6265926,35.8782993
128.626257,35.8780752
128.6259816,35.877802
128.6257769,35.8774904
128.6256509,35.8771522
128.6256084,35.8768006
128.6256509,35.8764489
128.625777,35.8761108
128.6259816,35.8757992
128.6262571,35.875526
128.6265927,35.8753019
128.6269756,35.8751353
128.627391,35.8750327
128.6278231,35.8749981
128.6282552,35.8750327
128.6286706,35.8751353
128.6290535,35.8753019
128.6293892,35.875526
128.6296646,35.8757992
128.6298693,35.8761108
128.6299953,35.8764489
128.6300379,35.8768006
128.6299953,35.8771522
128.6298693,35.8774904
128.6296646,35.877802
128.6293892,35.878075
128.5568224,35.8588462
128.5564869,35.8590704
128.5561041,35.859237
128.5556887,35.8593396
128.5552567,35.8593742
128.5548248,35.8593396
128.5544094,35.859237
128.5540266,35.8590704
128.553691,35.8588462
128.5534157,35.8585731
128.553211,35.8582615
128.5530851,35.8579233
128.5530425,35.8575717
128.5530851,35.85722
128.5532111,35.8568819
128.5534157,35.8565702
128.5536911,35.8562971
128.5540266,35.8560729
128.5544094,35.8559064
128.5548248,35.8558038
128.5552567,35.8557692
128.5556887,35.8558038
128.5561041,35.8559064
128.5564869,35.8560729
128.5568224,35.8562971
128.5570978,35.8565702
128.5573024,35.8568819
128.5574284,35.85722
128.5574709,35.8575717
128.5574284,35.8579233
128.5573024,35.8582615
128.5570978,35.8585731
128.5568224,35.858846
128.5466675,35.8560389
128.546332,35.8562631
128.5459492,35.8564297
128.5455338,35.8565323
128.5451018,35.8565669
128.5446699,35.8565323
128.5442545,35.8564297
128.5438717,35.8562631
128.5435362,35.8560389
128.5432608,35.8557658
128.5430562,35.8554542
128.5429302,35.855116
128.5428877,35.8547644
128.5429303,35.8544127
128.5430563,35.8540746
128.5432609,35.8537629
128.5435362,35.8534898
128.5438718,35.8532656
128.5442546,35.8530991
128.5446699,35.8529965
128.5451018,35.8529619
128.5455338,35.8529965
128.5459491,35.8530991
128.5463319,35.8532656
128.5466675,35.8534898
128.5469428,35.8537629
128.5471474,35.8540746
128.5472734,35.8544127
128.547316,35.8547644
128.5472734,35.855116
128.5471475,35.8554542
128.5469429,35.8557658
128.5466675,35.856038
129.1327062,35.1988345
129.1323734,35.1990587
129.1319937,35.1992253
129.1315817,35.1993279
129.1311532,35.1993625
129.1307248,35.1993279
129.1303128,35.1992253
129.1299331,35.1990587
129.1296003,35.1988345
129.1293272,35.1985613
129.1291242,35.1982496
129.1289992,35.1979115
129.1289571,35.1975598
129.1289993,35.1972081
129.1291243,35.1968699
129.1293272,35.1965582
129.1296003,35.1962851
129.1299331,35.1960609
129.1303128,35.1958943
129.1307248,35.1957917
129.1311532,35.1957571
129.1315817,35.1957917
129.1319936,35.1958943
129.1323733,35.1960609
129.1327061,35.1962851
129.1329792,35.1965582
129.1331822,35.1968699
129.1333072,35.1972081
129.1333494,35.1975598
129.1333072,35.1979115
129.1331822,35.1982496
129.1329793,35.1985613
129.1327062,35.198834
128.5835222,35.8695518
128.5831866,35.869776
128.5828038,35.8699425
128.5823883,35.8700451
128.5819563,35.8700797
128.5815243,35.8700451
128.5811088,35.8699425
128.580726,35.869776
128.5803904,35.8695518
128.580115,35.8692786
128.5799104,35.868967
128.5797843,35.8686289
128.5797418,35.8682772
128.5797844,35.8679256
128.5799104,35.8675874
128.580115,35.8672758
128.5803904,35.8670027
128.580726,35.8667785
128.5811089,35.8666119
128.5815243,35.8665094
128.5819563,35.8664747
128.5823883,35.8665094
128.5828037,35.8666119
128.5831866,35.8667785
128.5835222,35.8670027
128.5837976,35.8672758
128.5840022,35.8675874
128.5841283,35.8679256
128.5841708,35.8682772
128.5841283,35.8686289
128.5840023,35.868967
128.5837976,35.8692786
128.5835222,35.869551
128.5754953,35.8735728
128.5751597,35.873797
128.5747768,35.8739636
128.5743613,35.8740661
128.5739293,35.8741008
128.5734972,35.8740661
128.5730817,35.8739636
128.5726989,35.873797
128.5723633,35.8735728
128.5720878,35.8732997
128.5718832,35.872988
128.5717572,35.8726499
128.5717146,35.8722982
128.5717572,35.8719466
128.5718832,35.8716085
128.5720879,35.8712968
128.5723633,35.8710237
128.5726989,35.8707995
128.5730818,35.870633
128.5734972,35.8705304
128.5739293,35.8704958
128.5743613,35.8705304
128.5747767,35.870633
128.5751596,35.8707995
128.5754952,35.8710237
128.5757706,35.8712968
128.5759753,35.8716085
128.5761013,35.8719466
128.5761439,35.8722982
128.5761013,35.8726499
128.5759753,35.872988
128.5757707,35.8732997
128.5754953,35.873572
128.5810487,35.8414417
128.5807132,35.8416658
128.5803305,35.8418324
128.5799152,35.841935
128.5794833,35.8419696
128.5790514,35.841935
128.5786361,35.8418324
128.5782534,35.8416658
128.5779179,35.8414417
128.5776426,35.8411685
128.5774381,35.8408569
128.5773121,35.8405187
128.5772696,35.8401671
128.5773121,35.8398154
128.5774381,35.8394773
128.5776427,35.8391657
128.577918,35.8388925
128.5782534,35.8386684
128.5786362,35.8385018
128.5790514,35.8383992
128.5794833,35.8383646
128.5799152,35.8383992
128.5803304,35.8385018
128.5807132,35.8386684
128.5810486,35.8388925
128.5813239,35.8391657
128.5815285,35.8394773
128.5816545,35.8398154
128.581697,35.8401671
128.5816545,35.8405187
128.5815285,35.8408569
128.581324,35.8411685
128.5810487,35.841441
128.5687052,35.8903119
128.5683695,35.890536
128.5679866,35.8907026
128.567571,35.8908052
128.5671389,35.8908398
128.5667067,35.8908052
128.5662912,35.8907026
128.5659082,35.890536
128.5655725,35.8903119
128.5652971,35.8900387
128.5650924,35.8897271
128.5649663,35.8893889
128.5649238,35.8890373
128.5649663,35.8886856
128.5650924,35.8883475
128.5652971,35.8880359
128.5655726,35.8877627
128.5659082,35.8875386
128.5662912,35.887372
128.5667067,35.8872695
128.5671389,35.8872348
128.567571,35.8872695
128.5679865,35.887372
128.5683695,35.8875386
128.5687051,35.8877627
128.5689806,35.8880359
128.5691853,35.8883475
128.5693114,35.8886856
128.5693539,35.8890373
128.5693114,35.8893889
128.5691854,35.8897271
128.5689807,35.8900387
128.5687052,35.890311
128.5658387,35.8770012
128.5655031,35.8772253
128.5651202,35.8773919
128.5647047,35.8774945
128.5642726,35.8775291
128.5638406,35.8774945
128.5634251,35.8773919
128.5630422,35.8772253
128.5627066,35.8770012
128.5624311,35.876728
128.5622265,35.8764164
128.5621005,35.8760782
128.5620579,35.8757266
128.5621005,35.8753749
128.5622265,35.8750368
128.5624312,35.8747252
128.5627066,35.874452
128.5630422,35.8742279
128.5634251,35.8740613
128.5638406,35.8739587
128.5642726,35.8739241
128.5647047,35.8739587
128.5651202,35.8740613
128.565503,35.8742279
128.5658387,35.874452
128.5661141,35.8747252
128.5663188,35.8750368
128.5664448,35.8753749
128.5664874,35.8757266
128.5664448,35.8760782
128.5663188,35.8764164
128.5661141,35.876728
128.5658387,35.877001
129.1621576,35.1642687
129.161825,35.1644929
129.1614454,35.1646595
129.1610336,35.1647621
129.1606053,35.1647967
129.160177,35.1647621
129.1597652,35.1646595
129.1593857,35.1644929
129.159053,35.1642687
129.15878,35.1639955
129.1585772,35.1636838
129.1584523,35.1633456
129.1584101,35.162994
129.1584523,35.1626423
129.1585772,35.1623041
129.1587801,35.1619924
129.1590531,35.1617192
129.1593857,35.1614951
129.1597653,35.1613285
129.1601771,35.1612259
129.1606053,35.1611913
129.1610336,35.1612259
129.1614454,35.1613285
129.1618249,35.1614951
129.1621576,35.1617192
129.1624306,35.1619924
129.1626334,35.1623041
129.1627584,35.1626423
129.1628006,35.162994
129.1627584,35.1633456
129.1626335,35.1636838
129.1624306,35.1639955
129.1621576,35.164268
128.6118909,35.8744879
